geoid,name,population,value,percentile,numerator,denominator
06075016500,165,5267,0.891466044910141,0.947625160462131,,
06037122420,1224.20,4503,-0.509459535443058,0.208857509627728,,
06037134421,1344.21,4234,0.614549607817622,0.848908857509628,,
06059074806,748.06,5205,-0.685930903044594,0.129653401797176,,
06037208401,2084.01,4765,-0.799168472272243,0.0908857509627728,,
06037267902,2679.02,3365,0.742043983201209,0.902310654685494,,
06041111000,1110,5204,0.765504147806273,0.912451861360719,,
06075015900,159,4832,0.435182442416602,0.75186136071887,,
06067009617,96.17,3668,0.552453588539029,0.815275994865212,,
06013338102,3381.02,3600,0.779397142895609,0.91578947368421,,
06059021824,218.24,2782,0.743849643563723,0.903337612323492,,
06037650605,6506.05,3064,0.419135475204496,0.740821566110398,,
06073016504,165.04,6856,-0.389838545235876,0.270988446726573,,
06073006900,69,5854,0.657695459863187,0.867650834403081,,
06037702202,7022.02,3969,0.783775374705772,0.917329910141207,,
06037191610,1916.10,4237,-0.572883850744745,0.181771501925546,,
06073003105,31.05,4664,-0.121737969181695,0.417971758664955,,
06037554515,5545.15,3793,0.537204931555744,0.806931964056483,,
06059021810,218.10,3570,0.614909796576358,0.849037227214377,,
06077003405,34.05,4507,-0.722774113915886,0.115404364569961,,
06067008704,87.04,3781,0.395830673355926,0.726829268292683,,
06037231710,2317.10,4165,-1.84391975143923,0.000385109114249037,,
06037602700,6027,3770,0.0763048728236014,0.534274711168164,,
06013303102,3031.02,9625,0.441175790771407,0.75584082156611,,
06067003400,34,3929,0.134240202679206,0.569448010269576,,
06073012102,121.02,3385,-0.359874488623255,0.285237483953787,,
06001423000,4230,4962,0.674836542580426,0.874197689345314,,
06037620101,6201.01,5632,0.610480152941113,0.846469833119384,,
06037554403,5544.03,5848,-0.446387788079351,0.240949935815148,,
06037134522,1345.22,4167,-1.02247470600964,0.0360718870346598,,
06037293306,2933.06,2436,0.199139298076959,0.602824133504493,,
06037296901,2969.01,4466,-0.354640290633774,0.288831835686778,,
06037297201,2972.01,4505,-0.131394169336754,0.412580231065469,,
06073014601,146.01,4854,-0.0388327863619443,0.467650834403081,,
